category,word,cefr,cocaRank,pos,reason,oxfordDef
food-drinks,"water",a1,287,noun|verb,imsky:nouns/food,"a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, wash"
food-drinks,"food",a1,372,noun,imsky:nouns/food,"things that people or animals eat"
food-drinks,"eat",a1,476,noun|verb,yle:food_and_drink,"to put food in your mouth, bite it and swallow it "
food-drinks,"piece",a1,584,noun,yle:food_and_drink,"an amount of something that has been cut or separated from the rest of it; a standard amount of something"
food-drinks,"cup",a1,886,noun,yle:food_and_drink,"a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc."
food-drinks,"date",a1,994,noun|verb,imsky:nouns/fruit,"a particular day of the month, sometimes in a particular year, given in numbers and words"
food-drinks,"dinner",a1,1079,noun,yle:food_and_drink,"the main meal of the day, eaten either in the middle of the day or in the evening"
food-drinks,"mouth",a1,1126,noun,imsky:nouns/water,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening"
food-drinks,"drink",a1,1142,noun|verb,imsky:nouns/food,"a liquid for drinking; an amount of a liquid that you drink"
food-drinks,"ice",a1,1232,noun,imsky:nouns/food,"water that has frozen and become solid"
food-drinks,"fish",a1,1238,noun|verb,imsky:nouns/food,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming"
food-drinks,"kitchen",a1,1279,noun,imsky:nouns/food,"a room in which meals are cooked or prepared"
food-drinks,"apple",a1,1327,noun,imsky:nouns/fruit,"a round fruit with shiny red or green skin that is fairly hard and white inside"
food-drinks,"coffee",a1,1356,noun|adjective,imsky:nouns/food,"the roasted seeds (called coffee beans) of a tropical bush; a powder made from them"
food-drinks,"egg",a1,1615,noun,yle:food_and_drink,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (with"
food-drinks,"wine",a1,1630,noun,imsky:nouns/food,"an alcoholic drink made from the juice of grapes that has been left to ferment. There are many different kinds of wine."
food-drinks,"lunch",a1,1698,noun,yle:food_and_drink,"a meal eaten in the middle of the day"
food-drinks,"beer",a1,1815,noun,imsky:nouns/food,"an alcoholic drink made from malt with hops added to give it taste. There are many types of beer."
food-drinks,"pool",a1,1830,noun,imsky:nouns/water,"an area of water that has been created for people to swim in"
food-drinks,"meal",a1,1871,noun,yle:food_and_drink,"an occasion when people eat food, especially breakfast, lunch or dinner"
food-drinks,"tea",a1,1894,noun,imsky:nouns/food,"the dried leaves (called tea leaves) of the tea bush"
food-drinks,"meat",a1,1934,noun,imsky:nouns/food,"the soft part of an animal or a bird that can be eaten as food; a particular type of this"
food-drinks,"milk",a1,2211,noun,imsky:nouns/food,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans"
food-drinks,"cheese",a1,2250,noun,imsky:nouns/food,"a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular typ"
food-drinks,"dish",a1,2270,noun,imsky:nouns/food,"a flat shallow container for cooking food in or serving it from"
food-drinks,"bread",a1,2386,noun,imsky:nouns/food,"a type of food made from flour, water and usually yeast mixed together and baked"
food-drinks,"vegetable",a1,2422,noun,yle:food_and_drink,"a plant or part of a plant that is eaten as food. Potatoes, beans and onions are all vegetables."
food-drinks,"rice",a1,2442,noun,imsky:nouns/food,"short, narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain"
food-drinks,"cake",a1,2448,noun,imsky:nouns/food,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various"
food-drinks,"breakfast",a1,2459,noun,yle:food_and_drink,"the first meal of the day"
food-drinks,"juice",a1,2645,noun,imsky:nouns/food,"the liquid that comes from fruit or vegetables; a drink made from this"
food-drinks,"potato",a1,2688,noun,yle:food_and_drink,"a round white vegetable with a brown or red skin that grows underground as part of a plant also called a potato"
food-drinks,"hungry",a1,2770,verb|adjective,yle:food_and_drink,"feeling that you want to eat something"
food-drinks,"chocolate",a1,2819,noun|adjective,imsky:nouns/food,"a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet"
food-drinks,"orange",a1,3258,noun|adjective,imsky:nouns/fruit,"between red and yellow in colour"
food-drinks,"salad",a1,3268,noun,imsky:nouns/food,"a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal"
food-drinks,"soup",a1,3437,noun,imsky:nouns/food,"a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal"
food-drinks,"sandwich",a1,3485,noun,imsky:nouns/fast_food,"two slices of bread, often spread with butter, with a layer of meat, cheese, etc. between them"
food-drinks,"banana",a1,5012,noun,imsky:nouns/fruit,"a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries"
food-drinks,"carrot",a1,,noun,yle:food_and_drink,"a long pointed orange root vegetable"
food-drinks,"ice cream",a1,,noun,yle:food_and_drink,"a type of sweet frozen food made from milk fat, tasting of fruit, chocolate, etc. and often eaten as a dessert; a small "
food-drinks,"thirsty",a1,,verb|adjective,yle:food_and_drink,"needing or wanting to drink"
food-drinks,"finger",a2,1181,noun,imsky:nouns/fast_food,"one of the four long thin parts that stick out from the hand (or five, if the thumb is included)"
food-drinks,"neck",a2,1753,noun,imsky:nouns/water,"the part of the body between the head and the shoulders"
food-drinks,"smell",a2,2149,verb|noun,yle:food_and_drink,"the quality of something that people and animals sense through their noses"
food-drinks,"taste",a2,2198,noun|verb,imsky:nouns/food,"the particular quality that different foods and drinks have that allows you to recognize them when you put them in your "
food-drinks,"knife",a2,2364,noun,yle:food_and_drink,"a sharp blade (= metal edge) with a handle, used for cutting or as a weapon"
food-drinks,"recipe",a2,2418,noun,imsky:nouns/food,"a set of instructions that tells you how to cook something and the ingredients (= items of food) you need for it"
food-drinks,"lemon",a2,3685,noun,imsky:nouns/fruit,"a yellow citrus fruit with juice that has a bitter, sharp taste. Slices of lemon and lemon juice are used in cooking and"
food-drinks,"beef",a2,3802,noun,imsky:nouns/meat,"meat that comes from a cow"
food-drinks,"fork",a2,4590,noun|verb,imsky:nouns/water,"a tool with a handle and three or four sharp points (called prongs), used for picking up and eating food"
food-drinks,"spoon",a2,,noun,yle:food_and_drink,"a tool that has a handle with a shallow bowl at the end, used for mixing, serving and eating food"
food-drinks,"roll",b1,1343,noun|verb,imsky:nouns/fast_food,"a small loaf of bread for one person"
food-drinks,"cream",b1,2241,noun|adjective,imsky:nouns/food,"between yellow and white in colour"
food-drinks,"port",b1,3060,noun,imsky:nouns/water,"a town or city with a harbour, especially one where ships load and unload goods"
food-drinks,"wrap",b2,2278,noun|verb,imsky:nouns/fast_food,"to cover something completely in paper or other material, for example when you are giving it as a present"
food-drinks,"stream",b2,2573,noun,imsky:nouns/water,"a small, narrow river"
food-drinks,"melt",b2,3695,noun|verb,imsky:nouns/fast_food,"to become or make something become liquid as a result of heating"
food-drinks,"shore",b2,3852,noun,imsky:nouns/water,"the land along the edge of the sea, the ocean or a lake"
food-drinks,"wheat",b2,5048,noun,imsky:nouns/food,"a plant grown for its grain that is used to produce the flour for bread, cakes, pasta, etc.; the grain of this plant"
food-drinks,"spice",b2,,noun,imsky:nouns/food,"one of the various types of powder or seed that come from plants and are used in cooking. Spices have a strong taste and"
food-drinks,"cookie",,2923,noun,imsky:nouns/food,""
food-drinks,"creek",,3025,noun,imsky:nouns/water,""
food-drinks,"pie",,3310,noun,imsky:nouns/food,""
food-drinks,"candy",,3370,noun,imsky:nouns/food,""
food-drinks,"pizza",,3442,noun,imsky:nouns/food,""
food-drinks,"harbor",,4108,noun,imsky:nouns/water,""
food-drinks,"shark",,4298,noun,imsky:nouns/fish,""
food-drinks,"olive",,4498,noun|adjective,imsky:nouns/food,""
food-drinks,"rabbit",,4521,noun,imsky:nouns/meat,""
food-drinks,"salmon",,4629,noun|adjective,imsky:nouns/fish,""
food-drinks,"dessert",,4758,noun,imsky:nouns/food,""
food-drinks,"pork",,4766,noun,imsky:nouns/meat,""
food-drinks,"goat",,4774,noun,imsky:nouns/meat,""
food-drinks,"soda",,4875,noun,imsky:nouns/food,""
food-drinks,"steak",,4983,noun,imsky:nouns/food,""
food-drinks,"burger",,5037,noun,imsky:nouns/fast_food,""
food-drinks,"barracuda",,,noun,imsky:nouns/fish,""
food-drinks,"eel",,,noun,imsky:nouns/fish,""
food-drinks,"marlin",,,noun,imsky:nouns/fish,""
food-drinks,"bagel",,,noun,imsky:nouns/fast_food,""
food-drinks,"blt",,,noun,imsky:nouns/fast_food,""
food-drinks,"burrito",,,noun,imsky:nouns/fast_food,""
food-drinks,"cheeseburger",,,noun,imsky:nouns/fast_food,""
food-drinks,"cheesesteak",,,noun,imsky:nouns/fast_food,""
food-drinks,"clubhouse",,,noun,imsky:nouns/fast_food,""
food-drinks,"donut",,,noun,imsky:nouns/fast_food,""
food-drinks,"frank",,,noun,imsky:nouns/fast_food,""
food-drinks,"fries",,,noun,imsky:nouns/fast_food,""
food-drinks,"hamburger",,,noun,imsky:nouns/fast_food,""
food-drinks,"hoagie",,,noun,imsky:nouns/fast_food,""
food-drinks,"hot dog",,,noun,imsky:nouns/fast_food,""
food-drinks,"muffin",,,noun,imsky:nouns/fast_food,""
food-drinks,"nugget",,,noun,imsky:nouns/fast_food,""
food-drinks,"panini",,,noun,imsky:nouns/fast_food,""
food-drinks,"philly",,,noun,imsky:nouns/fast_food,""
food-drinks,"pita",,,noun,imsky:nouns/fast_food,""
food-drinks,"pretzel",,,noun,imsky:nouns/fast_food,""
food-drinks,"reuben",,,noun,imsky:nouns/fast_food,""
food-drinks,"slider",,,noun,imsky:nouns/fast_food,""
food-drinks,"sub",,,noun,imsky:nouns/fast_food,""
food-drinks,"taco",,,noun,imsky:nouns/fast_food,""
food-drinks,"amberjack",,,noun,imsky:nouns/fish,""
food-drinks,"anchovy",,,noun,imsky:nouns/fish,""
food-drinks,"angler",,,noun,imsky:nouns/fish,""
food-drinks,"ayu",,,noun,imsky:nouns/fish,""
food-drinks,"barbel",,,noun,imsky:nouns/fish,""
food-drinks,"bass",c1,,noun,imsky:nouns/fish,"the lowest tone or part in music, for instruments or voices"
food-drinks,"betta",,,noun,imsky:nouns/fish,""
food-drinks,"blowfish",,,noun,imsky:nouns/fish,""
food-drinks,"bocaccio",,,noun,imsky:nouns/fish,""
food-drinks,"burbot",,,noun,imsky:nouns/fish,""
food-drinks,"carp",,,noun,imsky:nouns/fish,""
food-drinks,"cobbler",,,noun,imsky:nouns/fish,""
food-drinks,"cod",,,noun,imsky:nouns/fish,""
food-drinks,"flounder",,,noun,imsky:nouns/fish,""
food-drinks,"grouper",,,noun,imsky:nouns/fish,""
food-drinks,"haddock",,,noun,imsky:nouns/fish,""
food-drinks,"halibut",,,noun,imsky:nouns/fish,""
food-drinks,"herring",,,noun,imsky:nouns/fish,""
food-drinks,"mackerel",,,noun,imsky:nouns/fish,""
food-drinks,"mullet",,,noun,imsky:nouns/fish,""
food-drinks,"perch",,,noun,imsky:nouns/fish,""
food-drinks,"pollock",,,noun,imsky:nouns/fish,""
food-drinks,"sardine",,,noun,imsky:nouns/fish,""
food-drinks,"scallop",,,noun,imsky:nouns/fish,""
food-drinks,"snapper",,,noun,imsky:nouns/fish,""
food-drinks,"tilapia",,,noun,imsky:nouns/fish,""
food-drinks,"trout",,,noun,imsky:nouns/fish,""
food-drinks,"tuna",,,noun,imsky:nouns/fish,""
ingredients-flavor,"rich",a1,1086,adjective,manual-pin,"having a lot of money or property"
ingredients-flavor,"sugar",a1,1842,noun,manual-pin,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking"
ingredients-flavor,"salt",a1,1918,noun,manual-pin,"a white substance that is added to food to make it taste better or to preserve it. Salt is obtained from mines and is al"
ingredients-flavor,"pepper",a1,2414,noun,manual-pin,"a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food"
ingredients-flavor,"oil",a2,645,noun,manual-pin,"a thick liquid that is found in rock underground "
ingredients-flavor,"fresh",a2,1250,adjective,manual-pin,"recently produced or picked and not frozen, dried or preserved in tins or cans"
ingredients-flavor,"sauce",a2,2772,noun,manual-pin,"a thick liquid that is eaten with food to add taste to it"
ingredients-flavor,"jam",a2,,verb|noun,manual-pin,"a thick sweet substance made by boiling fruit with sugar, often sold in jars and spread on bread"
ingredients-flavor,"flour",b1,4256,noun,manual-pin,"a fine white or brown powder made from grain, especially wheat, and used in cooking for making bread, cakes, etc."
ingredients-flavor,"spicy",b1,,adjective,manual-pin,"having a strong taste because spices have been added to it"
ingredients-flavor,"lean",b2,1862,adjective|verb,manual-pin,"to bend or move from a straight position to a sloping position "
ingredients-flavor,"bitter",b2,4014,adjective,manual-pin,"having a strong, unpleasant taste; not sweet"
ingredients-flavor,"sticky",b2,,adjective,manual-pin,"made of or covered in a substance that sticks to things that touch it"
ingredients-flavor,"flavor",,3390,noun,manual-pin,""
ingredients-flavor,"tender",c1,4733,adjective,manual-pin,"kind, gentle and loving"
ingredients-flavor,"sour",,,adjective,manual-pin,""
ingredients-flavor,"salty",,,adjective,manual-pin,""
ingredients-flavor,"savory",,,adjective,manual-pin,""
ingredients-flavor,"bland",,,adjective,manual-pin,""
ingredients-flavor,"crispy",,,adjective,manual-pin,""
ingredients-flavor,"crunchy",,,adjective,manual-pin,""
ingredients-flavor,"chewy",,,adjective,manual-pin,""
ingredients-flavor,"juicy",,,adjective,manual-pin,""
ingredients-flavor,"stale",,,adjective,manual-pin,""
ingredients-flavor,"ripe",,,adjective,manual-pin,""
ingredients-flavor,"rotten",,,,manual-pin,""
ingredients-flavor,"mushy",,,,manual-pin,""
ingredients-flavor,"tart",,,adjective,manual-pin,""
ingredients-flavor,"zesty",,,adjective,manual-pin,""
ingredients-flavor,"creamy",,,adjective,manual-pin,""
ingredients-flavor,"flaky",,,,manual-pin,""
ingredients-flavor,"fluffy",,,,manual-pin,""
ingredients-flavor,"tangy",,,adjective,manual-pin,""
ingredients-flavor,"gooey",,,,manual-pin,""
ingredients-flavor,"fatty",,,,manual-pin,""
